mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
1.772,0.682,5.263,0.39,0.635,0.304,6.593,65.408,0.0
1.687,0.676,4.289,0.378,0.616,0.326,5.608,65.216,0.0
2.025,0.641,3.791,0.34,0.632,0.339,5.103,65.26,0.0
2.135,0.643,3.669,0.385,0.627,0.345,5.026,64.972,0.0
2.117,0.643,3.377,0.375,0.636,0.338,4.726,65.77,0.0
2.251,0.668,3.446,0.363,0.609,0.35,4.769,64.649,0.0
2.215,0.67,3.089,0.362,0.613,0.347,4.41,64.65,0.0
2.223,0.658,3.213,0.372,0.616,0.35,4.552,64.918,0.0
2.308,0.669,3.177,0.378,0.615,0.369,4.539,65.347,0.0
2.395,0.68,2.893,0.344,0.608,0.349,4.195,65.173,0.0
2.21,0.688,3.191,0.366,0.608,0.346,4.51,64.793,0.0
2.39,0.657,3.071,0.371,0.611,0.344,4.397,64.281,0.0
2.323,0.677,2.957,0.367,0.607,0.357,4.288,65.431,0.0
2.442,0.67,2.772,0.333,0.598,0.347,4.05,65.494,0.0
2.44,0.671,2.786,0.362,0.601,0.352,4.102,64.714,0.0
2.396,0.68,2.587,0.36,0.594,0.349,3.89,64.796,0.0
2.429,0.686,2.667,0.355,0.589,0.344,3.956,65.382,0.0
2.544,0.662,2.456,0.317,0.611,0.357,3.74,64.718,0.0
2.387,0.699,2.548,0.377,0.575,0.336,3.835,65.261,0.0
2.487,0.679,2.572,0.36,0.598,0.345,3.875,64.988,0.0
2.454,0.702,2.39,0.332,0.572,0.336,3.63,65.809,0.0
2.519,0.696,2.259,0.321,0.585,0.341,3.506,66.568,0.0
2.563,0.691,2.431,0.348,0.58,0.346,3.706,65.572,0.0
2.574,0.679,2.411,0.352,0.599,0.348,3.709,65.576,0.0
2.547,0.706,2.24,0.339,0.565,0.333,3.477,66.16,0.0
2.66,0.694,2.157,0.323,0.581,0.339,3.4,65.307,0.0
2.565,0.707,2.34,0.349,0.569,0.325,3.583,64.72,0.0
2.509,0.704,2.34,0.339,0.575,0.333,3.587,65.389,0.0
2.694,0.694,2.301,0.313,0.571,0.341,3.526,65.216,0.0
2.693,0.7,2.079,0.332,0.57,0.334,3.316,65.248,0.0
2.771,0.684,2.115,0.342,0.587,0.327,3.372,64.395,0.0
2.527,0.7,2.166,0.329,0.574,0.337,3.406,65.787,0.0
2.671,0.706,2.113,0.331,0.566,0.347,3.357,65.065,0.0
2.582,0.715,2.087,0.343,0.546,0.327,3.303,64.874,0.0
2.652,0.724,2.246,0.323,0.554,0.338,3.461,64.876,0.0
2.652,0.703,2.078,0.326,0.565,0.337,3.305,65.679,0.0
2.905,0.702,2.119,0.306,0.571,0.339,3.335,64.94,0.0
2.783,0.715,1.841,0.34,0.557,0.326,3.063,65.075,0.0
2.8,0.708,2.059,0.326,0.563,0.334,3.281,65.318,0.0
2.775,0.708,2.065,0.311,0.558,0.33,3.265,65.498,0.0
